Source Row,Compound Name,CASRN,Supplied InChIKey,Derived InChIKey,Derived InChIKey Status,Structure Status,Structure Status Reason,Classification Input Source,Corrected Chemical Class,Classification Rule ID,Classification Rule Version,Manual Review Flag,Manual Review Reason,Taxonomy Path,Ontology Mapping Status,Ontology Mapping Version
2,"Cyclodocosasiloxane, tetratetracontamethyl-",1177831-23-0,KTAVWKKPSOLBQQ-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
3,"Cycloeicosasiloxane, tetracontamethyl-",150026-98-5,GNPUIRGLEUCTBE-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
4,"Cycloheneicosasiloxane, dotetracontamethyl-",23523-13-9,AXCIWEDVVHLSKG-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
5,"Cyclooctadecasiloxane, hexatriacontamethyl-",23523-12-8,FZWBYDHCNDGMTB-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
6,"Cyclotricosasiloxane, hexatetracontamethyl",not given,SPUPGXQRNJLSDG-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
7,Cyclic poly(dimethylsiloxane) (n=06),540-97-6,IUMSDRXLFWAGNT-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
8,Cyclic poly(dimethylsiloxane) (n=07),107-50-6,GSANOGQCVHBHIF-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
9,Cyclic poly(dimethylsiloxane) (n=08),556-68-3,XKJMJYZFAWYREL-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
10,Cyclic poly(dimethylsiloxane) (n=09),556-71-8,ISXOGOLHEGHGQF-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
11,Cyclic poly(dimethylsiloxane) (n=10),18772-36-6,CDNNKGWZSNSADW-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
12,Cyclic poly(dimethylsiloxane) (n=11),18766-38-6,QKFCLXPIIJGSQB-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
13,Cyclic poly(dimethylsiloxane) (n=12),18919-94-3,SOGKSNZFDBFKCV-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
14,Cyclic poly(dimethylsiloxane) (n=13),23732-94-7,JESOOKQYHPPUDI-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
15,Cyclic poly(dimethylsiloxane) (n=14),149050-40-8,ZHDAYCIVVMINRB-UHFFFAOYSA-N,,Not needed,Structured,Valid local structure available,Standardized SMILES,Macrocyclic siloxane,STC-SIL-004,1.5.1,False,,Silicon-containing Compound → Siloxane → Cyclic Siloxane → Macrocyclic Siloxane,Not mapped,1.0.0
