Source Row,Compound Name,CASRN,Structure Source,SMILES Used,Derived InChIKey,Derivation Method,Review Status
92,Ethylmethylhydroxystyrene pentyl hydroxy butylene glycol,not given,Standardized SMILES,CCCCCC(O)(O)CCCO,MOGKAZNIUVVFSU-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
112,"Acetophenone, 5'-isopropyl-2'-methoxy- related compound",not given,Standardized SMILES,COc1ccc(C(C)C)cc1C(C)=O,VSUMISAKJYIJBA-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
120,Ethylmethyl(tert-Butyl)benzene acetic acid,not given,Standardized SMILES,CCc1cccc(C(C)(C)C)c1C,HZDWNMKKIUERNT-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
122,Ethylmethyl(tert-Butyl)benzene acetic acid hydroxy,not given,Standardized SMILES,CCc1cccc(C(C)(C)C)c1C,HZDWNMKKIUERNT-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
128,"Phenanthrene, dodecahydro- related compound 01",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
129,"Phenanthrene, dodecahydro- related compound 02",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
130,"Phenanthrene, dodecahydro- related compound 04",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
131,"Phenanthrene, dodecahydro- related compound 05",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
132,"Phenanthrene, dodecahydro- related compound 06",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
133,"Phenanthrene, dodecahydro- related compound 07",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
134,"Phenanthrene, dodecahydro- related compound 08",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
135,"Phenanthrene, dodecahydro- related compound 09",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
136,"Phenanthrenecarboxylic acid, dodecahydro- related compound 02",not given,Standardized SMILES,O=C(O)C1CCCC2C1=CCC1CCCCC12,VIVORBJTEOLBSJ-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
137,"Phenanthrenecarboxylic acid, dodecahydro- related compound 03",not given,Standardized SMILES,O=C(O)C1CCCC2C1=CCC1CCCCC12,VIVORBJTEOLBSJ-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
138,"Phenanthrenecarboxylic acid, dodecahydro- related compound 04",not given,Standardized SMILES,O=C(O)C1CCCC2C1=CCC1CCCCC12,VIVORBJTEOLBSJ-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
139,"Phenanthrene, dodecahydro- related compound 03",not given,Standardized SMILES,C1=C2CCCCC2C2CCCCC2C1,JSGPEEFAPXBVCG-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
140,"Phenanthrenecarboxylic acid, dodecahydro- related compound 01",not given,Standardized SMILES,O=C(O)C1CCCC2C1=CCC1CCCCC12,VIVORBJTEOLBSJ-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
164,(2-(4-Isopropylphenyl)propan-2- ylperoxy)trimethylsilane,not given,Standardized SMILES,CC(C)c1ccc(C(C)(C)OO[Si](C)(C)C)cc1,PLMRGCGDKMRCFL-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
166,"Bicyclo[2.2.1]heptane-3-acetic acid, 2- methoxycarbonyl-, methyl ester",58987-46-5,Standardized SMILES,COC(=O)CC1C2CCC(C2)C1C(=O)OC,PKYJRBZIHAQIPE-UHFFFAOYSA-N,RDKit MolToInchiKey from locally validated SMILES,Candidate — retain supplied field unchanged until approved
